Feature,Importance
RET,0.43318007027400984
AVG_VOL,0.10148358022255893
VOL,0.060258311784418525
PE,0.04272773601255383
OM,0.04117935946287208
REV_G,0.039610682724099004
MCAP,0.031718449473846326
ROA,0.023662460615836347
BETA,0.022336527602059078
CR,0.020443570669263954
ROE,0.020089975684882525
GM,0.020016571467423097
PM,0.01934241734187253
OCF,0.018947176210964072
QR,0.01777691095867026
FCF,0.015724059605418308
EPS_G,0.015381207698817166
PB,0.013031827317483697
CLOSE,0.012327899268323018
DE,0.01213751205574434
DY,0.011131613441530902
FPE,0.007492080107352304
