Rank,Profile,Ticker,Sector,Final_Score,Rule_Based_Score,ML_Probability,KMeans_Cluster,HDBSCAN_Cluster_ID,Is_Outlier,RET,VOL,BETA,PE,PB,ROE,ROA,REV_G,EPS_G,DY,Reason
1,Aggressive,VHM.VN,Real Estate,0.8016034779450938,0.8933690508783476,0.904980569321002,2,-1,1,1.9375,0.0280356588276708,1.356,28.653296,2.5027304,0.26724002,0.05698,1.4892000000000083,7.715400000000003,2.81,return cao; growth cao; rủi ro/biến động cao phù hợp khẩu vị aggressive; lưu ý: mã dị biệt theo HDBSCAN
2,Aggressive,VIC.VN,Real Estate,0.6562021000772548,0.6889539815315189,0.8957372520207666,2,-1,1,2.549734895191145,0.0307735562632477,1.4812000000000003,100.99298720000029,11.0641,0.09277,0.0051200003,0.245,-0.014,2.81,return cao; rủi ro/biến động cao phù hợp khẩu vị aggressive; lưu ý: mã dị biệt theo HDBSCAN
3,Aggressive,VIX.VN,Securities,0.5963463407577445,0.6026242117116216,0.8980375702384379,0,-1,1,1.4190140013268184,0.0322371052046584,1.471,6.802721,1.3546116,0.27235,0.20618,0.603,-0.63,2.81,return cao; rủi ro/biến động cao phù hợp khẩu vị aggressive; lưu ý: mã dị biệt theo HDBSCAN
4,Aggressive,SCR.VN,Midcap,0.5523526908760196,0.553542379490412,0.859492100930925,3,-1,1,0.341549295774648,0.0268665445927491,0.726,26.246077,0.4355091,0.017144,0.00878,0.368,7.608,2.81,rủi ro/biến động cao phù hợp khẩu vị aggressive; lưu ý: mã dị biệt theo HDBSCAN
5,Aggressive,SJS.VN,Midcap,0.5463475131527612,0.5623218854209229,0.810888773432461,0,-1,1,1.179172464280397,0.029363369450056,0.365,34.72222,4.769309,0.14119,0.046409998,1.21,1.611,2.81,growth cao; rủi ro/biến động cao phù hợp khẩu vị aggressive; lưu ý: mã dị biệt theo HDBSCAN
6,Aggressive,PVD.VN,Energy,0.5250957090466922,0.4370953587874177,0.8765158315819993,3,11,0,0.2406060695875214,0.0232617714218211,0.635,18.293636,1.059404,0.071729995,0.035520002,1.263,0.929,1.53,growth cao
7,Aggressive,SHB.VN,Banking,0.5076432788697486,0.383605094659213,0.956478850433198,0,3,0,1.0868238581761482,0.0226856691389455,0.584,5.2083335,0.87103796,0.18304001,0.01416,0.094,0.066,3.2,điểm tổng hợp phù hợp hơn các mã còn lại
8,Aggressive,VPB.VN,Banking,0.5041346741178299,0.3723893234560856,0.9738485907942798,0,3,0,0.5394199082678464,0.0246532209885813,0.523,8.14996,1.2758288,0.15836,0.02261,0.347,0.591,1.85,rủi ro/biến động cao phù hợp khẩu vị aggressive
9,Aggressive,VND.VN,Securities,0.49821283556021473,0.45284645750370744,0.9248812612304782,0,-1,1,0.6128136045330321,0.0274602437098891,1.06,11.389522,1.1907245,0.105179995,0.04456,0.406,0.426,3.06,rủi ro/biến động cao phù hợp khẩu vị aggressive; lưu ý: mã dị biệt theo HDBSCAN
10,Aggressive,HPG.VN,Materials,0.49053291680914757,0.3688299772199853,0.9294077310206316,0,9,0,0.1777777208137272,0.0190352456489414,0.973,9.803921,1.466654,0.16465001,0.058179997,0.406,1.689,1.88,rủi ro/biến động cao phù hợp khẩu vị aggressive
