Rank,Profile,Ticker,Sector,Final_Score,Rule_Based_Score,ML_Probability,KMeans_Cluster,HDBSCAN_Cluster_ID,Is_Outlier,RET,VOL,BETA,PE,PB,ROE,ROA,REV_G,EPS_G,DY,Reason
1,Cân bằng,NT2.VN,Utilities,0.6155876304660406,0.5974950683388827,0.7893643305152909,1,6,0,0.248684876787723,0.0192524306582566,0.178,5.200208,1.3138819,0.28186,0.09724,0.522,4.779,3.04,chất lượng tốt; rủi ro vừa phải; định giá tương đối hợp lý
2,Cân bằng,SHB.VN,Banking,0.6075605867440586,0.5263441059082272,0.956478850433198,0,3,0,1.0868238581761482,0.0226856691389455,0.584,5.2083335,0.87103796,0.18304001,0.01416,0.094,0.066,3.2,định giá tương đối hợp lý
3,Cân bằng,ACB.VN,Banking,0.6031122820181141,0.5483267525612109,0.8771342209010657,0,1,0,0.133642205020082,0.0161070491537156,0.319,7.247091,1.1859698,0.17508,0.01692,0.127,0.175,4.39,rủi ro vừa phải; định giá tương đối hợp lý
4,Cân bằng,BMP.VN,Industrial,0.6028732956141805,0.6644045148583783,0.7511605408532632,1,-1,1,0.4300109317967056,0.0224672108808075,0.657,9.157509,3.5869005,0.3463736000000003,0.2155135976000003,0.054,0.059,10.608400000000008,chất lượng tốt; định giá tương đối hợp lý; lưu ý: mã dị biệt theo HDBSCAN
5,Cân bằng,HDB.VN,Banking,0.6006501472453998,0.5162239599569393,0.9571735011021696,0,3,0,0.444157572058522,0.0226980993606418,0.5,7.5277085,1.6105832,0.24431999,0.02078,0.103,0.188,2.81,chất lượng tốt; định giá tương đối hợp lý
6,Cân bằng,VCG.VN,Construction,0.6003351469738573,0.5962255752863195,0.9319089770937348,3,-1,1,0.4012785924547486,0.0216027818656745,0.551,4.991839436,1.1861408,0.33854,0.0355,0.319,1.756,3.56,chất lượng tốt; định giá tương đối hợp lý; lưu ý: mã dị biệt theo HDBSCAN
7,Cân bằng,MBB.VN,Banking,0.5958215948665601,0.5099039065750977,0.9555554410559668,0,3,0,0.5245861552569457,0.019003326612167,0.61,7.204611,1.4673853,0.20782,0.02053,0.168,0.144,1.21,chất lượng tốt; rủi ro vừa phải; định giá tương đối hợp lý
8,Cân bằng,CTG.VN,Banking,0.5928082576057392,0.5192837510969389,0.9172385273515278,0,3,0,0.3693052018413842,0.0179343354414771,0.741,7.122507,1.4482013,0.22364001,0.01421,0.416,0.646,0.89,chất lượng tốt; rủi ro vừa phải; định giá tương đối hợp lý
9,Cân bằng,TPB.VN,Banking,0.5792214970912393,0.4986104076564985,0.9207768469267616,0,1,0,0.1714584022069438,0.0222481317541997,0.668,5.9307694,0.97564375,0.16904,0.01615,0.09,-0.012,6.03,định giá tương đối hợp lý
10,Cân bằng,VHM.VN,Real Estate,0.5705136756659721,0.5632407619081737,0.904980569321002,2,-1,1,1.9375,0.0280356588276708,1.356,28.653296,2.5027304,0.26724002,0.05698,1.4892000000000083,7.715400000000003,2.81,return ổn; chất lượng tốt; định giá tương đối hợp lý; lưu ý: mã dị biệt theo HDBSCAN
