Rank,Profile,Ticker,Sector,Final_Score,Rule_Based_Score,ML_Probability,KMeans_Cluster,HDBSCAN_Cluster_ID,Is_Outlier,RET,VOL,BETA,PE,PB,ROE,ROA,REV_G,EPS_G,DY,Reason
1,Phòng thủ,ACB.VN,Banking,0.6659913672115416,0.6381540171232504,0.8771342209010657,0,1,0,0.133642205020082,0.0161070491537156,0.319,7.247091,1.1859698,0.17508,0.01692,0.127,0.175,4.39,biến động thấp; beta thấp
2,Phòng thủ,BMP.VN,Industrial,0.6525477656678372,0.7353680435064593,0.7511605408532632,1,-1,1,0.4300109317967056,0.0224672108808075,0.657,9.157509,3.5869005,0.3463736000000003,0.2155135976000003,0.054,0.059,10.608400000000008,cổ tức tốt; ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
3,Phòng thủ,HDB.VN,Banking,0.6308018344953081,0.5592977988853796,0.9571735011021696,0,3,0,0.444157572058522,0.0226980993606418,0.5,7.5277085,1.6105832,0.24431999,0.02078,0.103,0.188,2.81,beta thấp; ROE tốt
4,Phòng thủ,NT2.VN,Utilities,0.6246763002771112,0.6104788823546978,0.7893643305152909,1,6,0,0.248684876787723,0.0192524306582566,0.178,5.200208,1.3138819,0.28186,0.09724,0.522,4.779,3.04,biến động thấp; beta thấp; ROE tốt
5,Phòng thủ,TPB.VN,Banking,0.6186473648279669,0.5549330758518236,0.9207768469267616,0,1,0,0.1714584022069438,0.0222481317541997,0.668,5.9307694,0.97564375,0.16904,0.01615,0.09,-0.012,6.03,điểm tổng hợp phù hợp hơn các mã còn lại
6,Phòng thủ,SHB.VN,Banking,0.6084701543775437,0.5276434882417775,0.956478850433198,0,3,0,1.0868238581761482,0.0226856691389455,0.584,5.2083335,0.87103796,0.18304001,0.01416,0.094,0.066,3.2,điểm tổng hợp phù hợp hơn các mã còn lại
7,Phòng thủ,MBB.VN,Banking,0.6060724326542805,0.5245479605575554,0.9555554410559668,0,3,0,0.5245861552569457,0.019003326612167,0.61,7.204611,1.4673853,0.20782,0.02053,0.168,0.144,1.21,biến động thấp
8,Phòng thủ,CTG.VN,Banking,0.5953491855728813,0.5229136481928562,0.9172385273515278,0,3,0,0.3693052018413842,0.0179343354414771,0.741,7.122507,1.4482013,0.22364001,0.01421,0.416,0.646,0.89,biến động thấp; ROE tốt
9,Phòng thủ,PAN.VN,Midcap,0.5952458866918637,0.5783936377502124,0.7614813610668607,1,6,0,0.1768695562953925,0.0220046043842235,0.626,6.016847,1.1464198,0.17608999,0.04083,-0.086,4.439,9.32,cổ tức tốt
10,Phòng thủ,VCG.VN,Construction,0.5948295812800746,0.5883604814380584,0.9319089770937348,3,-1,1,0.4012785924547486,0.0216027818656745,0.551,4.991839436,1.1861408,0.33854,0.0355,0.319,1.756,3.56,ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
