Rank,Profile,Ticker,Sector,Final_Score,Rule_Based_Score,ML_Probability,KMeans_Cluster,HDBSCAN_Cluster_ID,Is_Outlier,RET,VOL,BETA,PE,PB,ROE,ROA,REV_G,EPS_G,DY,Reason
1,Tăng trưởng,VHM.VN,Real Estate,0.7961746378978496,0.8856135650965703,0.904980569321002,2,-1,1,1.9375,0.0280356588276708,1.356,28.653296,2.5027304,0.26724002,0.05698,1.4892000000000083,7.715400000000003,2.81,tăng trưởng doanh thu tốt; tăng trưởng EPS tốt; hiệu suất giá tốt; ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
2,Tăng trưởng,NT2.VN,Utilities,0.6199065707859961,0.6036649830816764,0.7893643305152909,1,6,0,0.248684876787723,0.0192524306582566,0.178,5.200208,1.3138819,0.28186,0.09724,0.522,4.779,3.04,tăng trưởng EPS tốt; ROE tốt
3,Tăng trưởng,VCG.VN,Construction,0.5583852489723129,0.5362971495698275,0.9319089770937348,3,-1,1,0.4012785924547486,0.0216027818656745,0.551,4.991839436,1.1861408,0.33854,0.0355,0.319,1.756,3.56,ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
4,Tăng trưởng,VIX.VN,Securities,0.5436398527829287,0.5273292288904561,0.8980375702384379,0,-1,1,1.4190140013268184,0.0322371052046584,1.471,6.802721,1.3546116,0.27235,0.20618,0.603,-0.63,2.81,hiệu suất giá tốt; ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
5,Tăng trưởng,ANV.VN,Seafood,0.5416911392870576,0.5266767535291177,0.8920696472667009,1,-1,1,0.3869511030708148,0.0287963640538231,0.86,5.6369786,1.6094545,0.3196,0.14551,0.664,0.48,2.22,tăng trưởng doanh thu tốt; ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
6,Tăng trưởng,CTG.VN,Banking,0.538103260993908,0.44113375593718007,0.9172385273515278,0,3,0,0.3693052018413842,0.0179343354414771,0.741,7.122507,1.4482013,0.22364001,0.01421,0.416,0.646,0.89,ROE tốt
7,Tăng trưởng,SJS.VN,Midcap,0.530446440003234,0.5396060666358841,0.810888773432461,0,-1,1,1.179172464280397,0.029363369450056,0.365,34.72222,4.769309,0.14119,0.046409998,1.21,1.611,2.81,tăng trưởng doanh thu tốt; lưu ý: mã dị biệt theo HDBSCAN
8,Tăng trưởng,SHB.VN,Banking,0.5276796239718113,0.412228444805017,0.956478850433198,0,3,0,1.0868238581761482,0.0226856691389455,0.584,5.2083335,0.87103796,0.18304001,0.01416,0.094,0.066,3.2,điểm tổng hợp phù hợp hơn các mã còn lại
9,Tăng trưởng,HPG.VN,Materials,0.5254965217671475,0.41877798430284224,0.9294077310206316,0,9,0,0.1777777208137272,0.0190352456489414,0.973,9.803921,1.466654,0.16465001,0.058179997,0.406,1.689,1.88,điểm tổng hợp phù hợp hơn các mã còn lại
10,Tăng trưởng,HAG.VN,Midcap,0.5253881406040446,0.4894352582060285,0.931133839439299,3,-1,1,0.4430894308943089,0.0257815225791926,0.327,6.127451,1.4869381,0.2375,0.05466,0.293,2.301,2.81,ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
