Rank,Query_Ticker,Recommended_Ticker,Query_Cluster,Recommended_Cluster,Same_Cluster,Distance,Similarity,Sector,PC1,PC2,PC3,RET,VOL,PE,ROE,DY,BETA,Is_Outlier
1,ACB.VN,TPB.VN,0,0,True,0.548722,0.645694,Banking,0.3708018348302654,-2.145622376447057,0.9034732970059508,0.1714584022069438,0.0222481317541997,5.9307694,0.16904,6.03,0.668,0
2,ACB.VN,VIB.VN,0,0,True,0.947293,0.513533,Banking,0.5728683806502743,-1.6985759955596464,0.7731817200732893,0.0708319959311818,0.0177450868318352,7.132668,0.16360001,5.66,0.57,0
3,ACB.VN,MSB.VN,0,0,True,1.000478,0.49988,Banking,0.1798875868651935,-2.315377641770072,0.3829632803777725,0.2987012987012987,0.020046630538867,7.6745768,0.14335,2.81,0.615,0
4,ACB.VN,BID.VN,0,0,True,1.096856,0.476905,Banking,-0.5061920008651106,-2.8167291669034777,1.2619981079916187,0.0428879177757983,0.0162964008701505,11.299435,0.18096,1.03,0.937,0
5,ACB.VN,VRE.VN,0,0,True,1.341692,0.427042,Real Estate,-0.2514355076346181,-1.4147653281705646,1.4847513283086045,0.8959537572254335,0.0266830342820469,10.842795,0.14773,2.81,0.927,1
1,BID.VN,TCB.VN,0,0,True,0.573358,0.635583,Banking,-1.007911631777444,-2.866310045191616,1.535051609029934,0.448046402424195,0.0201870092872197,8.787346,0.15788999,2.17,0.914,0
2,BID.VN,VCB.VN,0,0,True,0.688145,0.592366,Banking,-0.9401963633177788,-2.77721330936436,1.7945599778929904,-0.0610578666104065,0.01506423413017,16.447369,0.16383,0.866,0.529,0
3,BID.VN,SSI.VN,0,0,True,1.0646,0.484355,Securities,-1.1958723563094038,-2.075779537703797,0.9322904865263442,0.2092338377699256,0.0240476618610594,13.157894,0.13479,3.36,1.169,1
4,BID.VN,MBB.VN,0,0,True,1.067342,0.483713,Banking,-0.8444896895289529,-3.6290271183583513,1.8661052548061603,0.5245861552569457,0.019003326612167,7.204611,0.20782,1.21,0.61,0
5,BID.VN,ACB.VN,0,0,True,1.096856,0.476905,Banking,0.5382021046681135,-2.483932495086689,1.3017433707558126,0.133642205020082,0.0161070491537156,7.247091,0.17508,4.39,0.319,0
1,CTG.VN,HDB.VN,0,0,True,0.301499,0.768345,Banking,-0.4321998420011807,-3.715953535551429,2.157285719306726,0.444157572058522,0.0226980993606418,7.5277085,0.24431999,2.81,0.5,0
2,CTG.VN,MBB.VN,0,0,True,0.387664,0.720636,Banking,-0.8444896895289529,-3.6290271183583513,1.8661052548061603,0.5245861552569457,0.019003326612167,7.204611,0.20782,1.21,0.61,0
3,CTG.VN,SHB.VN,0,0,True,0.588396,0.629566,Banking,-1.1795748749578248,-4.195639613979112,2.1217659507035944,1.0868238581761482,0.0226856691389455,5.2083335,0.18304001,3.2,0.584,0
4,CTG.VN,VPB.VN,0,0,True,0.683442,0.594021,Banking,-0.920578305584014,-4.44187656239547,1.8564471084440648,0.5394199082678464,0.0246532209885813,8.14996,0.15836,1.85,0.523,0
5,CTG.VN,VCB.VN,0,0,True,1.163365,0.462243,Banking,-0.9401963633177788,-2.77721330936436,1.7945599778929904,-0.0610578666104065,0.01506423413017,16.447369,0.16383,0.866,0.529,0
1,EIB.VN,HSG.VN,3,3,True,0.382205,0.723482,Materials,-0.1730323642849626,-0.4778160764212283,-2.2692707077742527,-0.1147595790956365,0.0222505321158291,19.157087,0.04765,3.36,1.089,1
2,EIB.VN,DIG.VN,3,3,True,0.596033,0.626554,Midcap,0.2303511141175495,-0.5574543263791272,-1.6342646020022478,-0.0635751143713587,0.0293149500956468,13.210039,0.07079,2.81,0.957,0
3,EIB.VN,VDS.VN,3,3,True,0.657819,0.603202,Securities,-0.2482333775603837,-0.4694284224400342,-1.531727628077095,-0.098053536552867,0.0283973528460756,15.037594,0.08043,2.81,1.003,0
4,EIB.VN,PDR.VN,3,3,True,0.811518,0.552023,Real Estate,0.6022434332081907,-1.1405326270346807,-1.8203372362113155,0.0121739474243867,0.0284382645371279,26.385008,0.05085,2.81,-0.02,1
5,EIB.VN,HHV.VN,3,3,True,0.854109,0.539343,Construction,-0.3034852071766025,-1.3919864539991256,-1.5049637468479429,0.1756409962028997,0.022003179583098,9.349885,0.05924,2.81,0.786,1
1,HDB.VN,CTG.VN,0,0,True,0.301499,0.768345,Banking,-0.6956412425765698,-3.861362809370724,2.1384053627687054,0.3693052018413842,0.0179343354414771,7.122507,0.22364001,0.89,0.741,0
2,HDB.VN,MBB.VN,0,0,True,0.512177,0.661298,Banking,-0.8444896895289529,-3.6290271183583513,1.8661052548061603,0.5245861552569457,0.019003326612167,7.204611,0.20782,1.21,0.61,0
3,HDB.VN,SHB.VN,0,0,True,0.88878,0.529442,Banking,-1.1795748749578248,-4.195639613979112,2.1217659507035944,1.0868238581761482,0.0226856691389455,5.2083335,0.18304001,3.2,0.584,0
4,HDB.VN,VPB.VN,0,0,True,0.925193,0.519429,Banking,-0.920578305584014,-4.44187656239547,1.8564471084440648,0.5394199082678464,0.0246532209885813,8.14996,0.15836,1.85,0.523,0
5,HDB.VN,VCB.VN,0,0,True,1.127326,0.470074,Banking,-0.9401963633177788,-2.77721330936436,1.7945599778929904,-0.0610578666104065,0.01506423413017,16.447369,0.16383,0.866,0.529,0
