Feature,PC1_loading,PC2_loading,PC3_loading
CLOSE,-0.1624370203424796,0.35024550207063443,0.21972728139089612
RET,-0.3822550078323415,0.00047432843819485366,0.2143111038449552
AVG_VOL,-0.14752693196250413,-0.3490227524359075,0.15545920882048905
VOL,-0.23917704429274927,0.0020403941462182242,-0.10368486522012935
PE,-0.2868787534255962,0.13858982168336392,-0.16975012794977407
PB,-0.22968849445120476,0.2772574654811981,0.12311929308298451
FPE,0.20727240407422662,0.030275161408156424,-0.13520065678355106
ROE,0.05248587634642088,0.1073932068182571,0.4174379830861905
ROA,0.1471334011629284,0.2719277125520598,0.3448039781289934
REV_G,-0.14876044717200224,0.05029409794341025,0.09759443197388568
EPS_G,-0.0869155817442431,0.08633202862702649,-0.027135154336257426
GM,0.018296790272405196,0.08589893868085564,0.042062725900964576
PM,-0.028276437780679013,-0.3699540632893168,0.31851542310506264
OM,-0.09542711001805464,-0.3734757350359197,0.29524358391032207
DE,-0.24574551003262718,0.06542616468738433,-0.23951283921348146
CR,0.20216624452682772,0.16615962982205007,0.20477689824752762
QR,0.23336390658895795,0.1602287243523461,0.3145483683876601
BETA,-0.24065960978806708,-0.07643915046647265,0.07610775475272244
MCAP,-0.3393408987882413,-0.017038361799205728,0.2144898258772743
FCF,0.3849012460792025,-0.17202267323825277,-0.06108354570262265
OCF,-0.054882483866711664,0.38043817964893384,-0.1470066337363516
DY,0.16195255690684773,0.20322604612104653,0.19860369483918958
